अँग्रेज़	̃grēz
अँगरेज़ी	̃grēzī
अँग्रेजी	̃grējī
अँग्रेज़ी	̃grēzī
अँग्रेजों	̃grējō̃
अँगूठे	̃gūṭhē
अँधा	̃dhā
अंक	
अंकतालिका	tāliā
अंकल	l
अंकुश	uś
अंकों	ō̃
अंग	g
अंगड़ाई	gṛāī
अंगद	gd
अंगनों	gō̃
अंगरक्षक	grṣ
अंग्रेंजी	grēñjī
अंग्रेजी	grējī
अंग्रेज़ी	grēzī
अंगरेज़ों	grēzō̃
अंग्रेजों	grējō̃
अंग्रेज़ों	grēzō̃
अंगूठा	gūṭhā
अंगूर	gūr
अंगों	gō̃
अंजान	ñjā
अंजाम	ñjām
अंजुमन	ñjum
अंजुमनेइस्लाम	ñjumēislām
अंजू	ñjū
अंडकोष	ṇḍōṣ
अंडमान	ṇḍmā
अंडमानीज़	ṇḍmāīz
अंडर	ṇḍr
अंडा	ṇḍā
अंडाणु	ṇḍāṇu
अंडाणुओं	ṇḍāṇuō̃
अंडे	ṇḍē
अंत	t
अंतत	tt
अंततः	ttḥ
अंतर	tr
अंतरकलह	trlh
अंतर्गत	trgt
अंतरमहल	trmhl
अंतर्मुखी	trmuhī
अंतरराष्ट्रीय	trrāṣṭrīy
अंतर्राष्ट्रीय	trrāṣṭrīy
अंतर्विरोध	trvirōdh
अंतराराष्ट्रीय	trārāṣṭrīy
अंतराष्ट्रीय	trāṣṭrīy
अंतरिक्ष	triṣ
अंतरिक्षयात्री	triṣyātrī
अंतरिक्षविज्ञानियों	triṣvijñāiyō̃
अंतरिम	trim
अंतरीन	trī
अंतहीन	thī
अंतिम	tim
अंदर	dr
अंदरुनी	druī
अंदरूनी	drūī
अंदाज़	dāz
अंदाजा	dājā
अंदाज़ा	dāzā
अंदेशा	dēśā
अंधकार	dhār
अंधकारमय	dhārmy
अंधविश्वासी	dhviśvāsī
अंधा	dhā
अंधी	dhī
अंधे	dhē
अंधेरा	dhērā
अंधेरे	dhērē
अंनत	t
अंपायर	 mpāyr
अंपायरिंग	mpāyrig
अंपायरों	mpāyrō̃
अंबरासन	mbrās
अंबानी	mbāī
अंबार	mbār
अंबिकापुर	mbiāpur
अंबुज	mbuj
अंबेडकर	mbēḍr
अंश	̃ś
अंशु	̃śu
अंसतोष	̃stōṣ
अंसार	̃sār
अंसारी	̃sārī
अक्टूबर	ṭūbr
अक्तूबर	tūbr
अकबर	br
अकबरज़ोला	brzōlā
अकबरुद्दीन	bruddī
अकमल	ml
अकरम	rm
अक्रापट	rāpṭ
अक्रिय	riy
अकल्पनीय	lpīy
अक्ष	ṣ
अक्षत	ṣt
अक्षम	ṣm
अक्षमता	ṣmtā
अक्षय	ṣy
अक्षर	ṣr
अक्षरों	ṣrō̃
अक्स	s
अक्सर	sr
अक्सा	sā
अक़्सा	qsā
अकादमिक	ādmi
अकादमी	ādmī
अकाल	āl
अकालेर	ālēr
अकेला	ēlā
अकेली	ēlī
अकेले	ēlē
अखंडता	hṇḍtā
अख्तर	htr
अख़्तर	̱ẖtr
अखबार	hbār
अख़बार	̱ẖbār
अख़बारी	̱ẖbārī
अखबारों	hbārō̃
अख़बारों	̱ẖbārō̃
अखाड़े	hāṛē
अग़ज़ादे	ġzādē
अगड़ों	gṛō̃
अग्निकांड	giāṇḍ
अग्निपथ	gipth
अग्निहोत्री	gihōtrī
अगर	gr
अगरकर	grr
अगरबत्ती	grbttī
अग्रवाल	grvāl
अग्रिम	grim
अगला	glā
अगली	glī
अगले	glē
अगस्त	gst
अगाल	gāl
अगाशे	gāśē
अगासी	gāsī
अगुआई	guāī
अगुवाई	guvāī
अगेन्सट	gēsṭ
अघात	ghāt
अघिक	ghi
अच्छ	cch
अच्छा	cchā
अच्छाइयाँ	cchāiyā̃
अच्छी	cchī
अच्छे	cchē
अचला	clā
अचानक	cā
अछूता	chūtā
अछूती	chūtī
अछूते	chūtē
अज्ञात	jñāt
अज्ञानी	jñāī
अजनबी	jbī
अजमेर	jmēr
अजय	jy
अज़रबैजान	zrbijā
अज़हर	zhr
अज़हा	zhā
अजित	jit
अज़ीकल	zīl
अजीज़	jīz
अज़ीज़	zīz
अजीत	jīt
अजीब	jīb
अजीबो	jībō
अजीबोगरीब	jībōgrīb
अज़ीम	zīm
अजूबा	jūbā
अजूबे	jūbē
अटकलें	ṭlē̃
अटकलों	ṭlō̃
अटका	ṭā
अटकाती	ṭātī
अटकाने	ṭāē
अट्ठाइस	ṭṭhāis
अटल	ṭl
अटलांटा	ṭlāṇṭā
अटलांटिक	ṭlāṇṭi
अटवाल	ṭvāl
अटूट	ṭūṭ
अड़चनें	ṛcē̃
अड्डा	ḍḍā
अड्डे	ḍḍē
अड्डो	ḍḍō
अड्डों	ḍḍō̃
अड़ना	ṛā
अड़ाना	ṛāā
अणु	ṇu
अत्यंत	tyt
अत्यधिक	tydhi
अत्याचार	tyācār
अता	tā
अतिआत्मविश्वास	tiātmviśvās
अतिथि	tithi
अतिरिक्त	tirit
अतिशयोक्ति	tiśyōti
अतीत	tīt
अतुल	tul
अतुलनीय	tulīy
अतुल्य	tuly
अथक	th
अथवा	thvā
अथाह	thāh
अदजरिया	djriyā
अदनान	dā
अदभुत	dbhut
अद्भुत	dbhut
अदभुद	dbhud
अदम्य	dmy
अद्वितीयता	dvitīytā
अदा	dā


अदाएँ	dāē̃
अदाओं	dāō̃
अदाकार	dāār
अदायगी	dāygī
अदालत	dālt
अदालती	dāltī
अदालतों	dāltō̃
अध्यक्ष	dhyṣ
अध्यक्षता	dhyṣtā
अध्यक्षा	dhyṣā
अध्ययण	dhyyṇ
अध्ययन	dhyy
अध्ययनों	dhyyō̃
अध्यापक	dhyāp
अध्यापन	dhyāp
अध्याय	dhyāy
अध्यायों	dhyāyō̃
अधार्मिक	dhārmi
अधिक	dhi
अधिकतम	dhitm
अधिकतर	dhitr
अधिकता	dhitā
अधिकाँश	dhiā̃ś
अधिकांश	dhiā̃ś
अधिकार	dhiār
अधिकारियों	dhiāriyō̃
अधिकारी	dhiārī
अधिकारों	dhiārō̃
अधिकृत	dhiṛt
अधिग्रहण	dhigrhṇ
अधिनायकवाद	dhiāyvād
अधिपत्य	dhipty
अधिवक्ता	dhivtā
अधिवेशन	dhivēś
अधीक्षक	dhīṣ
अधीन	dhī
अधीरथ	dhīrth
अधूरा	dhūrā
अधूरी	dhūrī
अन	
अनंत	t
अनंतकुमार	tumār
अनगिनत	git
अनचाहे	cāhē
अनजान	jā
अनजाने	jāē
अन्तरराष्ट्रीय	trrāṣṭrīy
अन्तराष्ट्रीय	trāṣṭrīy
अनदेखी	dēhī
अनदेखे	dēhē
अन्नाद्रमुक	ādrmu
अन्नान	ā
अन्नू	ū
अनपेक्षित	pēṣit
अन्य	y
अन्याय	 yāy
अनवर	 vr
अनसुनी	suī
अनहोनी	hōī
अनाचक	āc
अनाचार	ācār
अनाज	āj
अनातोली	ātōlī
अनाथ	āth
अनाथालय	āthāly
अनाथालयों	āthālyō̃
अनाथों	āthō̃
अनाम	ām
अनामुल	āmul
अनारकली	ārlī
अनारक्षित	ārṣit
अनावरण	āvrṇ
अनावश्यक	āvśy
अनास्तासिया	āstāsiyā
अनास्तेसिया	āstēsiyā
अनिता	itā
अनियत्रित	iytrit
अनियमित	iymit
अनियमितताएँ	iymittāē̃
अनियमितताओं	iymittāō̃
अनिरुद्ध	iruddh
अनिल	il
अनिवार्य	ivāry
अनिश्चितकालीन	iścitālī
अनिश्चितता	iścittā
अनीस	īs
अनु	u
अनुकरण	urṇ
अनुकूल	uūl
अनुच्छेद	ucchēd
अनुचित	ucit
अनुत्तरित	uttrit
अनुदान	udā
अनुपम	upm
अनुपस्थिति	upsthiti
अनुपात	upāt
अनुबंध	ubdh
अनुबंधों	ubdhō̃
अनुभव	ubhv
अनुभवहीन	ubhvhī
अनुभवी	ubhvī
अनुभवों	ubhvō̃
अनुभूति	ubhūti
अनुमति	umti
अनुमान	umā
अनुमानित	umāit
अनुमानों	umāō̃
अनुयायियों	uyāyiyō̃
अनुयायी	uyāyī
अनुराग	urāg
अनुराधा	urādhā
अनुरूप	urūp
अनुरोध	urōdh
अनुवाद	uvād
अनुवादक	uvād
अनुशासन	uśās
अनुशासनहीनता	uśāshītā
अनुशासनात्मक	uśāsātm
अनुशासित	uśāsit
अनुष्ठान	uṣṭhā
अनुसंधान	usdhā
अनुसंधानकर्ता	usdhārtā
अनुसर	usr
अनुसरण	usrṇ
अनुसार	usār
अनुसूचित	usūcit
अनू	ū
अनूठा	ūṭhā
अनूठे	ūṭhē
अनेक	ē
अनैतिकता	ititā
अनोखा	ōhā
अनोखी	ōhī
अनोखे	ōhē
अनौपचारिक	upcāri
अप	p
अपकेंद्रों	pēdrō̃
अपडेट	pḍēṭ
अपना	pā
अपनाई	pāī
अपनाओगे	pāōgē
अपनाती	pātī
अपनाते	pātē
अपनाना	pāā
अपनाने	pāē
अपनापन	pāp
अपनाया	pāyā
अपनालय	pāly
अपनी	pī
अपने	pē
अपनेआप	pēāp
अपनेसैन्य	pēsiy
अपनों	pō̃
अपमान	pmā
अपर्णा	prṇā
अप्रत्यक्ष	prtyṣ
अप्रत्याशित	prtyāśit
अप्रतिम	prtim
अप्रभावित	prbhāvit
अपर्याप्त	pryāpt
अप्रवासी	prvāsī
अप्रसार	prsār
अप्राकृतिक	prāṛti
अपराध	prādh
अपराधियों	prādhiyō̃
अपराधी	prādhī
अपराधों	prādhō̃
अप्रासंगिक	prāsgi
अप्रिय	priy
अपरिहार्य	prihāry
अप्रैल	pril
अपलब्ध	plbdh
अपस	ps
अपहरण	phrṇ
अपार	pār
अपितु	pitu
अपील	pīl
अपीलें	pīlē̃
अपुष्ट	puṣṭ
अपूर्वा	pūrvā
अपेक्षा	pēṣā
अपेक्षाएँ	pēṣāē̃
अपेक्षाकृत	pēṣāṛt
अपेक्षित	pēṣit
अपॉरचुनिटि	pôrcuiṭi
अपॉरचुनिटी	pôrcuiṭī
अपॉर्चुनिटी	pôrcuiṭī
अपोर्च्यूनिटी	pōrcyūiṭī
अपोलो	pōlō
अफगान	phgā
अफ़ग़ान	fġā
अफ़ग़ानियों	fġāiyō̃
अफग़ानिस्तान	phġāistā
अफ़गानिस्तान	fgāistā
अफ़ग़ानिस्तान	fġāistā
अफ़ग़ानों	fġāō̃
अफ़रा	frā
अफ़्रीक	frī
अफ्रीका	phrīā
अफ़्रीका	frīā
अफ्रीकियों	phrīiyō̃
अफ्रीकी	phrīī
अफ्रीक़ी	phrīqī
अफ़्रीकी	frīī
अफरीज़ाल	phrīzāl
अफ़रीदी	frīdī
अफ़्रो	frō
अफ़वाह	fvāh
अफवाहें	phvāhē̃
अफ़वाहों	fvāhō̃
अफ़सर	fsr
अफसरों	phsrō̃
अफ़सरों	fsrō̃
अफसोस	phsōs
अफ़सोस	fsōs
अफ़सोसजनक	fsōsj
अफ़सोसनाक	fsōsā
अफ़ीम	fīm
अब	b
अब्दी	bdī
अब्दुर्रज़ाक	bdurrzā
अब्दुल	bdul
अब्दुल्ला	bdullā
अब्बास	bbās
अब्राहम	brāhm
अबू	bū
अभद्र	bhdr
अभय	bhy
अभ्यारण्य	bhyārṇy
अभ्यास	bhyās
अभाव	bhāv
अभिजातवर्गीय	bhijātvrgīy
अभिजीत	bhijīt
अभिताभ	bhitābh
अभिनंदन	bhid
अभिन्न	bhi
अभिनय	bhiy
अभिनय़	bhiẏ
अभिनव	bhiv
अभिनेत्रियाँ	bhiētriyā̃
अभिनेत्रियों	bhiētriyō̃
अभिनेत्री	bhiētrī
अभिनेता	bhiētā
अभिनेताओं	bhiētāō̃
अभिभूत	bhibhūt
अभिमान	bhimā
अभियान	bhiyā
अभियानों	bhiyāō̃
अभियुक्त	bhiyut
अभियुक्तों	bhiyutō̃
अभियोग	bhiyōg
अभिराम	bhirām
अभिव्यक्ति	bhivyti
अभिवादन	bhivād
अभिशाप	bhiśāp
अभिषेक	bhiṣē
अभी	bhī
अभूतपूर्व	bhūtpūrv
अमंदा	mdā
अमजद	mjd
अमज़द	mzd
अमन	m
अमनजोत	mjōt
अमनो	mō
अमपारा	mpārā
अम्पारा	mpārā
अम्मा	mmā
अमर	mr
अम्र	mr
अमरजीत	mrjīt
अमर्त्य	mrty
अमरदीप	mrdīp
अमरिंदर	mridr
अमरीकन	mrī
अमरीका	mrīā
अमरीकियों	mrīiyō̃
अमरीकी	mrīī
अमरीकीयों	mrīīyō̃
अमरीश	mrīś
अमरेश	mrēś
अमल	ml
अम्लीय	mlīy
अमले	mlē
अमान	mā
अमान्य	māy
अमानवीय	māvīy
अमानुल्ला	māullā
अमानुल्लाह	māullāh
अमिट	miṭ
अमित	mit
अमिताभ	mitābh
अमीकी	mīī
अमीना	mīā
अमीर	mīr
अमीरात	mīrāt
अमुर	mur
अमूमन	mūm
अमूर	mūr
अमृतलिंगम	mṛtligm
अमृतसर	mṛtsr
अमृतानंदमयी	mṛtādmyī
अमृतापुरी	mṛtāpurī
अमेज़न	mēz
अमेठी	mēṭhī
अमेरिकन	mēri
अमेरिका	mēriā
अमेरिकी	mēriī
अयंनजीत	yjīt
अय्यर	yyr
अयातुल्ला	yātullā
अयूब	yūb
अयोग्य	yōgy
अयोग्यता	yōgytā
अयोध्या	yōdhyā
अर्जित	rjit
अर्जियाँ	rjiyā̃
अर्ज़ियाँ	rziyā̃
अर्जी	rjī
अर्ज़ी	rzī
अर्जुन	rju
अर्जेंटीना	rjēṇṭīā
अर्तव्यवस्था	rtvyvsthā
अर्थ	rth
अर्थलिंक	rthli
अर्थव्यवस्था	rthvyvsthā
अर्थशास्त्रियों	rthśāstriyō̃
अर्थों	rthō̃
अर्धशतक	rdhśt
अर्नाड	rāḍ
अरपा	rpā
अरपानेट	rpāēṭ
अरब	rb
अरबपतियों	rbptiyō̃
अरबी	rbī
अरबों	rbō̃
अरमान	rmā
अरविंद	rvid
अरविन्द	rvid
अर्श	rś
अरशद	rśd
अरसे	rsē
अर्से	rsē
अराजकता	rājtā
अराफ़ात	rāfāt
अरियल	riyl
अरी	rī
अरुचि	ruci
अरुण	ruṇ
अरुणाचल	ruṇācl
अरूंधती	rūdhtī
अरूण	rūṇ
अरोड़ा	rōṛā
अल	l
अलंबरदार	lmbrdār
अलका	lā
अलक़ायदा	lqāydā
अलख	lh
अलग	lg
अलगाववादियों	lgāvvādiyō̃
अलगाववादी	lgāvvādī
अलगावादियों	lgāvādiyō̃
अल्ज़मैर्स	lzmirs
अल्जीरिया	ljīriyā
