														
8	ऑ	1		0	ऍ	1		8	ऑ	1		0	ऍ	1
125	क्ष	1		0	य़	1		30	ङ	2		0	र्	2
244	ए	1		0	र्	1		30	औ	3		0	य़	1
459	आ	1		0	ऴ	1		31	ज्ञ	4		0	्र	2
970	श	1		0	ॲ	1		38	ञ	5		0	र्	1
1908	प	1		0	ॅ	1		43	ऐ	6		0	।	2
30	ङ	2		1	ऒ	1		61	ऊ	7		0	ऴ	1
127	ओ	2		2	ॆ	1		69	श्र	8		0	ॢ	2
268	इ	2		6	ऋ	1		125	क्ष	1		0	ॲ	1
527	ध	2		50	ः	1		127	ओ	2		0	ॳ	2
1431	ग	2		158	़	1		129	ढ	3		0	ॅ	1
2380	ल	2		277	ँ	1		134	झ	4		1	ऎ	2
30	औ	3		754	ू	1		152	घ	5		1	ऒ	1
129	ढ	3		1870	ो	1		173	त्र	6		2	ॄ	2
286	उ	3		2686	ी	1		219	ठ	7		2	ॆ	1
594	भ	3		3058	ि	1		222	छ	8		6	ॅ	2
1557	ब	3		7606	ा	1		244	ए	1		6	ऋ	1
2623	म	3		0	र्	2		268	इ	2		30	ॉ	2
31	ज्ञ	4		0	्र	2		286	उ	3		50	ः	1
134	झ	4		0	।	2		304	ई	4		108	ृ	2
304	ई	4		0	ॢ	2		305	थ	5		158	़	1
623	ख	4		0	ॳ	2		366	ण	6		219	ौ	2
1567	ज	4		1	ऎ	2		377	फ	7		277	ँ	1
2802	स	4		2	ॄ	2		383	ष	8		456	ै	2
38	ञ	5		6	ॅ	2		459	आ	1		754	ू	1
152	घ	5		30	ॉ	2		527	ध	2		1629	ु	2
305	थ	5		108	ृ	2		594	भ	3		1870	ो	1
645	ड	5		219	ौ	2		623	ख	4		1878	ं	2
1692	ह	5		456	ै	2		645	ड	5		2686	ी	1
2934	त	5		1629	ु	2		677	अ	6		2880	े	2
43	ऐ	6		1878	ं	2		868	च	7		3058	ि	1
173	त्र	6		2880	े	2		905	ट	8		3939	्	2
366	ण	6		3939	्	2		970	श	1		7606	ा	1
677	अ	6						1431	ग	2				
1700	य	6						1557	ब	3				
3091	क	6						1567	ज	4				
61	ऊ	7						1692	ह	5				
219	ठ	7						1700	य	6				
377	फ	7						1705	द	7				
868	च	7						1773	व	8				
1705	द	7						1908	प	1				
3426	न	7						2380	ल	2				
69	श्र	8						2623	म	3				
222	छ	8						2802	स	4				
383	ष	8						2934	त	5				
905	ट	8						3091	क	6				
1773	व	8						3426	न	7				
4996	र	8						4996	र	8				
