है	135943
के	95308
की	76134
से	63449
का	62875
को	56484
में	51119
तो	49341
हो	47721
भी	40579
और	39171
मे	34343
पर	34017
नही	30368
कर	30077
ही	27393
जी	25258
क्या	25214
एक	23761
आप	23157
हैं	21676
नहीं	21077
कि	20542
ने	20113
न	16611
ये	16374
हम	16038
जय	15365
रहा	14798
बात	14664
जो	14513
राम	14139
गया	13125
था	13063
मै	12797
भाई	12790
वो	12346
आज	12232
ना	12181
कुछ	12179
कोई	11562
अब	11245
मेरे	11155
रहे	10695
बहुत	10676
मैं	10577
श्री	10431
लिए	10076
इस	9877
अपने	9871
साथ	9742
व	9587
हे	9441
सब	9142
हूँ	9009
दिन	8940
आ	8911
रही	8708
तुम	8076
तक	8073
दो	8045
हर	8010
या	7945
घर	7790
यह	7697
सभी	7635
हा	7614
करने	7604
किया	7590
कहा	7563
जब	7537
काम	7382
फिर	7325
ठीक	7237
दिल	7214
करते	7195
मुझे	7092
किसी	7035
मेरी	6999
दिया	6768
सा	6607
क	6571
नाम	6476
अपनी	6462
मेरा	6265
दे	6047
होता	6026
लोग	5963
जा	5956
याद	5948
कभी	5943
थे	5892
म	5668
करना	5663
थी	5657
बस	5589
बाद	5479
अभी	5300
फोन	5289
ह	5280
