# words	# presses of next
2481	0
1132	1
699	2
540	3
455	4
348	5
280	6
200	7
243	8
220	9
275	10
240	11
286	12
140	13
75	14
112	15
68	16
90	17
57	18
100	19
84	20
110	21
23	22
72	23
0	24
78	25
54	26
0	27
29	28
30	29
124	30
32	31
33	32
0	33
0	34
36	35
37	36
76	37
0	38
80	39
41	40
0	41
43	42
44	43
90	44
138	45
47	46
0	47
0	48
0	49
0	50
0	51
53	52
0	53
55	54
0	55
0	56
58	57
0	58
0	59
61	60
0	61
0	62
0	63
65	64
66	65
0	66
0	67
0	68
0	69
0	70
0	71
0	72
74	73
0	74
0	75
0	76
0	77
0	78
0	79
0	80
0	81
0	82
0	83
0	84
0	85
0	86
0	87
0	88
0	89
0	90
0	91
0	92
0	93
0	94
0	95
0	96
0	97
0	98
0	99
0	100
0	101
0	102
0	103
0	104
0	105
107	106
0	107
0	108
0	109
0	110
0	111
0	112
0	113
0	114
0	115
0	116
0	117
119	118
