no of words	no od presses of next
3716	0
1670	1
1017	2
712		3
640		4
540		5
385		6
320		7
387		8
270		9
286	10
192	11
260	12
308	13
315	14
256	15
136	16
108	17
114	18
140	19
105	20
154	21
92	22
24	23
125	24
52	25
27	26
28	27
87	28
90	29
31	30
64	31
66	32
68	33
70	34
144	35
74	36
38	37
0	38
40	39
0	40
42	41
43	42
44	43
90	44
46	45
0	46
96	47
147	48
50	49
51	50
52	51
0	52
0	53
0	54
0	55
0	56
58	57
0	58
60	59
0	60
62	61
63	62
0	63
0	64
132	65
0	66
0	67
69	68
0	69
0	70
72	71
0	72
0	73
0	74
0	75
0	76
78	77
0	78
0	79
0	80
82	81
0	82
0	83
0	84
0	85
0	86
0	87
0	88
0	89
0	90
0	91
0	92
0	93
0	94
0	95
0	96
98	97
0	98
0	99
0	100
102	101
0	102
0	103
0	104
0	105
0	106
0	107
0	108
0	109
0	110
0	111
0	112
0	113
0	114
0	115
0	116
0	117
0	118
0	119
0	120
0	121
0	122
0	123
0	124
0	125
0	126
0	127
0	128
0	129
0	130
0	131
0	132
0	133
0	134
0	135
0	136
0	137
0	138
0	139
0	140
142	141
0	142
0	143
0	144
0	145
0	146
0	147
0	148
0	149
0	150
0	151
0	152
0	153
0	154
0	155
0	156
0	157
0	158
0	159
0	160
0	161
0	162
0	163
0	164
0	165
0	166
0	167
0	168
170	169
