# of words	# no of next press
13633	0
5348	1
3459	2
2272	3
2010	4
1602	5
1281	6
1120	7
981	8
960	9
792	10
732	11
598	12
574	13
705	14
624	15
799	16
450	17
418	18
300	19
462	20
440	21
253	22
240	23
550	24
494	25
378	26
308	27
290	28
480	29
496	30
192	31
396	32
272	33
385	34
324	35
370	36
152	37
273	38
80	39
328	40
126	41
129	42
88	43
135	44
92	45
235	46
192	47
147	48
50	49
204	50
208	51
265	52
216	53
55	54
112	55
114	56
58	57
177	58
120	59
122	60
124	61
63	62
192	63
195	64
66	65
0	66
68	67
69	68
350	69
213	70
0	71
73	72
222	73
0	74
0	75
0	76
0	77
0	78
80	79
405	80
82	81
0	82
0	83
85	84
172	85
87	86
88	87
178	88
90	89
0	90
0	91
0	92
94	93
0	94
0	95
97	96
0	97
198	98
100	99
202	100
0	101
103	102
0	103
105	104
0	105
0	106
108	107
0	108
0	109
111	110
0	111
113	112
0	113
115	114
232	115
0	116
118	117
0	118
0	119
0	120
0	121
0	122
0	123
0	124
0	125
0	126
0	127
0	128
260	129
0	130
0	131
0	132
0	133
0	134
0	135
0	136
0	137
0	138
0	139
0	140
142	141
0	142
0	143
0	144
0	145
0	146
0	147
0	148
0	149
0	150
0	151
0	152
0	153
0	154
0	155
157	156
0	157
0	158
0	159
0	160
0	161
0	162
164	163
0	164
0	165
0	166
168	167
0	168
0	169
0	170
0	171
0	172
0	173
175	174
0	175
0	176
178	177
179	178
0	179
0	180
0	181
0	182
184	183
0	184
0	185
0	186
0	187
0	188
0	189
0	190
0	191
0	192
0	193
0	194
0	195
0	196
0	197
0	198
0	199
0	200
0	201
0	202
0	203
0	204
0	205
0	206
0	207
0	208
210	209
0	210
0	211
0	212
0	213
0	214
0	215
0	216
0	217
0	218
0	219
0	220
0	221
0	222
0	223
0	224
0	225
0	226
0	227
0	228
0	229
0	230
0	231
0	232
0	233
0	234
0	235
0	236
0	237
0	238
0	239
0	240
0	241
243	242
0	243
0	244
0	245
0	246
0	247
0	248
0	249
0	250
0	251
0	252
0	253
0	254
0	255
0	256
0	257
0	258
0	259
261	260
0	261
0	262
0	263
0	264
0	265
267	266
0	267
0	268
0	269
0	270
0	271
0	272
0	273
0	274
0	275
0	276
0	277
0	278
0	279
0	280
0	281
0	282
0	283
0	284
0	285
0	286
0	287
0	288
0	289
0	290
0	291
0	292
0	293
0	294
0	295
0	296
0	297
0	298
0	299
0	300
0	301
0	302
0	303
0	304
0	305
0	306
0	307
0	308
0	309
0	310
0	311
0	312
0	313
0	314
0	315
0	316
0	317
0	318
0	319
0	320
0	321
0	322
0	323
0	324
0	325
0	326
0	327
0	328
0	329
0	330
0	331
0	332
0	333
0	334
0	335
0	336
0	337
0	338
0	339
0	340
0	341
343	342
0	343
0	344
0	345
0	346
0	347
0	348
0	349
0	350
0	351
0	352
0	353
0	354
0	355
0	356
0	357
0	358
0	359
0	360
0	361
0	362
0	363
0	364
0	365
0	366
0	367
0	368
0	369
0	370
372	371
